,processo,proponente,contrato,nota_de_empenho,valor_empenhado,valor_pago,saldo_do_empenho,consumo_%,janeiro,fevereiro,marco,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro,tipo,prop_pk1,prop_pk2
114,,GENERAL GIRAO,GESAC,23/2021,207000.0,0.0,233423.85872319198,0.0,,,,,,,,,,,,,Nota de Crédito,,
115,,JOAO ROMA,GESAC,24/2021,72167.81,0.0,81380.1385787544,0.0,,,,,,,,,,,,,Nota de Crédito,,
116,,JOENIA WAPICHANA,GESAC,25/2021,9098.42,0.0,10259.846882532678,0.0,,,,,,,,,,,,,Nota de Crédito,,
117,,JOSE NUNES,GESAC,26/2021,207000.0,0.0,233423.85872319198,0.0,,,,,,,,,,,,,Nota de Crédito,,
118,,JOSIVALDO JP,GESAC,27/2021,102000.0,0.0,115020.45212447141,0.0,,,,,,,,,,,,,Nota de Crédito,,
119,,JUNIOR LOURENCO,GESAC,28/2021,345000.0,0.0,389039.7645386533,0.0,,,,,,,,,,,,,Nota de Crédito,,
120,,LEO DE BRITO,GESAC,29/2021,430000.0,0.0,484890.1413090461,0.0,,,,,,,,,,,,,Nota de Crédito,,
121,,LEUR LOMANTO,GESAC,30/2021,66102.3,0.0,74540.3571810534,0.0,,,,,,,,,,,,,Nota de Crédito,,
122,,LUCIANO BIVAR,GESAC,31/2021,3253.19,0.0,3668.464555360874,0.0,,,,,,,,,,,,,Nota de Crédito,,
123,,LUIS TIBE,GESAC,32/2021,207000.0,0.0,233423.85872319198,0.0,,,,,,,,,,,,,Nota de Crédito,,
124,,MARA ROCHA,GESAC,33/2021,408375.1,0.0,460504.7905723159,0.0,,,,,,,,,,,,,Nota de Crédito,,
125,,MARX BELTRAO,GESAC,34/2021,207000.0,0.0,233423.85872319198,0.0,,,,,,,,,,,,,Nota de Crédito,,
126,,MINISTERIO DAS COMUNICACOES,GESAC,35/2021,15392427.09,0.0,17357293.364556488,0.0,,,,,,,,,,,,,Nota de Crédito,,
127,,MINISTERIO DAS COMUNICACOES,GESAC,36/2021,3688000.0,0.0,4158778.700343633,0.0,,,,,,,,,,,,,Nota de Crédito,,
128,,MINISTERIO DAS COMUNICACOES,GESAC,37/2021,10000000.0,0.0,11276514.914163863,0.0,,,,,,,,,,,,,Nota de Crédito,,
